,enumeration_type,number,last_updated_epoch,created_epoch,other_names,addresses,taxonomies,identifiers,basic.organization_name,basic.organizational_subpart,basic.enumeration_date,basic.last_updated,basic.status,basic.authorized_official_first_name,basic.authorized_official_last_name,basic.authorized_official_middle_name,basic.authorized_official_telephone_number,basic.authorized_official_title_or_position,basic.authorized_official_name_prefix,basic.name,basic.first_name,basic.last_name,basic.middle_name,basic.credential,basic.sole_proprietor,basic.gender,basic.name_prefix,basic.authorized_official_credential,basic.certification_date,basic.authorized_official_name_suffix,basic.name_suffix,practiceLocations,endpoints,basic.parent_organization_ein,basic.parent_organization_legal_business_name,basic.reactivation_date,basic.deactivation_date
10,NPI-2,1841717642,1503446400,1503446400,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '3721 S OLIVE ST', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '71603', 'telephone_number': '#(870) 536-9800', 'fax_number': '870-536-9804'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '3721 S OLIVE ST', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '716036756', 'telephone_number': '870-536-9800', 'fax_number': '870-536-9804'}]","[{'code': '261QD0000X', 'desc': 'Clinic/Center Dental', 'primary': True, 'state': 'AR', 'license': '2513'}]","[{'identifier': '103050608', 'code': '05', 'desc': 'MEDICAID', 'state': 'AR', 'issuer': ''}]","MAXWELL U. FLEMING, JR., DDS",NO,2017-08-23,2017-08-23,A,MAXWELL,FLEMING,,870-536-9800,DENTIST,DR.,"MAXWELL U. FLEMING, JR., DDS",,,,,,,,DDS,,JR.,,,,,,,
11,NPI-2,1578153540,1611335321,1611273600,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '1242 W 42ND AVE', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '716037109', 'telephone_number': '870-535-0301', 'fax_number': '870-535-5724'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '1242 W 42ND AVE', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '716037109', 'telephone_number': '870-535-0301', 'fax_number': '870-535-5724'}]","[{'code': '261QD0000X', 'desc': 'Clinic/Center Dental', 'primary': True, 'state': '', 'license': ''}]",[],"WILLIAM T SHEPHERD, JR DDS",NO,2021-01-22,2021-01-22,A,WILLIAM,SHEPHERD,TOLER,870-535-0301,DDS,DR.,"WILLIAM T SHEPHERD, JR DDS",,,,,,,,,2021-01-22,JR.,,,,,,,
12,NPI-1,1194839340,1183852800,1155772800,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '3721 S OLIVE', 'address_2': 'STE B', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '71603', 'telephone_number': '870-536-9800', 'fax_number': '870-536-9804'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '3721 S OLIVE', 'address_2': 'STE B', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '71603', 'telephone_number': '870-536-9800', 'fax_number': '870-536-9804'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': 'AR', 'license': '2513'}]","[{'identifier': '58603', 'code': '01', 'desc': 'Other', 'state': 'AR', 'issuer': 'BLUE CROSS BLUE SHIELD'}, {'identifier': '841822', 'code': '01', 'desc': 'Other', 'state': '', 'issuer': 'UNITED CONCORDIA'}]",,,2006-08-17,2007-07-08,A,,,,,,,FLEMING MAXWELL,MAXWELL,FLEMING,U,DDS,NO,M,DR.,,,,JR.,,,,,,
13,NPI-1,1467559971,1304467200,1158624000,"[{'code': '2', 'type': 'Professional Name', 'last_name': 'CAUDLE', 'first_name': 'MARVIN', 'middle_name': 'QUINCY', 'prefix': 'DR.', 'credential': 'DDS'}]","[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '1310 SOUTH LINDEN ST', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '71603', 'telephone_number': '870-536-4602', 'fax_number': '870-536-8604'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '1310 SOUTH LINDEN ST.', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '71603', 'telephone_number': '870-536-4602', 'fax_number': '870-536-8604'}]","[{'code': '122300000X', 'desc': 'Dentist', 'primary': True, 'state': 'AR', 'license': '2315'}]","[{'identifier': '102987608', 'code': '05', 'desc': 'MEDICAID', 'state': 'AR', 'issuer': ''}, {'identifier': '58980', 'code': '01', 'desc': 'Other', 'state': '', 'issuer': 'BLUE CROSS'}, {'identifier': '863970', 'code': '01', 'desc': 'Other', 'state': '', 'issuer': 'UNITED CONCORDIA'}]",,,2006-09-19,2011-05-04,A,,,,,,,CAUDLE MARVIN,MARVIN,CAUDLE,QUINCY,DDS,NO,M,DR.,,,,,,,,,,
14,NPI-1,1255425765,1183852800,1159747200,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '3024 OLIVE STREET', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '71603', 'telephone_number': '870-536-2650'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '3024 OLIVE STREET', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '71603', 'telephone_number': '870-536-2650'}]","[{'code': '1223X0400X', 'desc': 'Dentist Orthodontics and Dentofacial Orthopedics', 'primary': True, 'state': 'AR', 'license': '2165'}]",[],,,2006-10-02,2007-07-08,A,,,,,,,MOORE WILLIAM,WILLIAM,MOORE,J,"D.D.S., M.S.D.",YES,M,DR.,,,,JR.,,,,,,
15,NPI-1,1275695207,1183852800,1166140800,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '11 CHAPEL VILLAGE SHOPPING CENTER', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '71603', 'telephone_number': '870-879-1200'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '11 CHAPEL VILLAGE SHOPPING CENTER', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '71603', 'telephone_number': '870-879-1200'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': 'AR', 'license': '2846'}]",[],,,2006-12-15,2007-07-08,A,,,,,,,SMITH RICHARD,RICHARD,SMITH,,,NO,M,,,,,,,,,,,
16,NPI-1,1114066396,1183852800,1170633600,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '3721 OLIVE STREET', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '71603', 'telephone_number': '870-536-6917', 'fax_number': '870-536-4404'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '3721 OLIVE STREET', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '71603', 'telephone_number': '870-536-6917', 'fax_number': '870-536-4404'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': 'AR', 'license': '1962'}]",[],,,2007-02-05,2007-07-08,A,,,,,,,ROSS JOHN,JOHN,ROSS,WILLIAMS,DDS,NO,M,DR.,,,,,,,,,,
17,NPI-2,1093905465,1546612744,1185840000,"[{'organization_name': 'SUNNYBROOK DENTISTRY', 'code': '3', 'type': 'Doing Business As'}]","[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '2801 S OLIVE ST', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '71603', 'telephone_number': '770-916-9000', 'fax_number': '678-302-7485'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '1090 NORTHCHASE PKWY SE STE 150', 'address_2': '', 'city': 'MARIETTA', 'state': 'GA', 'postal_code': '300676407', 'telephone_number': '770-916-9000', 'fax_number': '678-247-7858'}]","[{'code': '1223E0200X', 'desc': 'Dentist Endodontics', 'primary': False, 'state': '', 'license': '', 'taxonomy_group': '193200000X MULTI-SPECIALTY GROUP'}, {'code': '1223S0112X', 'desc': 'Dentist Oral and Maxillofacial Surgery', 'primary': False, 'state': '', 'license': '', 'taxonomy_group': '193200000X MULTI-SPECIALTY GROUP'}, {'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': '', 'license': '', 'taxonomy_group': '193200000X MULTI-SPECIALTY GROUP'}]",[],"BRAD BRYAN,DMD, PA",NO,2007-07-31,2019-01-04,A,DALE,MAYFIELD,,770-916-5036,PRESIDENT,,"BRAD BRYAN,DMD, PA",,,,,,,,DMD,,,,,,,,,
18,NPI-2,1457645863,1307404800,1306972800,"[{'organization_name': 'ROAF & CAUDLE DENTAL OFFICE', 'code': '5', 'type': 'Other Name'}]","[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '1310 SOUTH LINDEN STREET', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '71603', 'telephone_number': '870-536-4602', 'fax_number': '870-536-8604'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '1310 SOUTH LINDEN STREET', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '71603', 'telephone_number': '870-536-4602', 'fax_number': '870-536-8604'}]","[{'code': '122300000X', 'desc': 'Dentist', 'primary': True, 'state': 'AR', 'license': 'AR1961', 'taxonomy_group': '193400000X SINGLE SPECIALTY  GROUP'}]",[],CLIFTON G ROAF & MARVIN Q CAUDLE,NO,2011-06-02,2011-06-07,A,CLIFTON,ROAF,G,870-536-4602,DENTIST,,CLIFTON G ROAF & MARVIN Q CAUDLE,,,,,,,,D.D.S.,,,,,,,,,
19,NPI-1,1700445038,1560236315,1560211200,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '3801 S OLIVE ST', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '71603', 'telephone_number': '870-536-6917'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '1001 KENNEDY ST', 'address_2': '', 'city': 'STAR CITY', 'state': 'AR', 'postal_code': '716678544', 'telephone_number': '870-370-2520'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': 'AR', 'license': '4344'}]",[],,,2019-06-11,2019-06-11,A,,,,,,,CARTER HANNAH,HANNAH,CARTER,,DDS,NO,F,DR.,,,,,,,,,,
20,NPI-2,1013576933,1560431861,1560384000,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '3801 S OLIVE ST', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '71603', 'telephone_number': '870-536-6917'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '3801 S OLIVE ST', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '71603', 'telephone_number': '870-536-6917'}]","[{'code': '122300000X', 'desc': 'Dentist', 'primary': True, 'state': '', 'license': '', 'taxonomy_group': '193400000X SINGLE SPECIALTY  GROUP'}]",[],"GARRETT TAYLOR, DDS, PA",NO,2019-06-13,2019-06-13,A,GARRETT,TAYLOR,,870-536-6917,OWNER/DENTIST,DR.,"GARRETT TAYLOR, DDS, PA",,,,,,,,,,,,,,,,,
21,NPI-1,1386747780,1608821258,1157587200,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '1801 W 40TH ST', 'address_2': 'STE 2-A', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '71603', 'telephone_number': '870-534-7860', 'fax_number': '870-534-5327'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '1801 W 40TH ST', 'address_2': 'STE 2-A', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '71603', 'telephone_number': '870-534-7860', 'fax_number': '870-534-5327'}]","[{'code': '1223S0112X', 'desc': 'Dentist Oral and Maxillofacial Surgery', 'primary': True, 'state': 'AR', 'license': '2328'}, {'code': '174400000X', 'desc': 'Specialist', 'primary': False, 'state': 'AR', 'license': '71-0531492'}, {'code': '204E00000X', 'desc': 'Oral & Maxillofacial Surgery', 'primary': False, 'state': 'AR', 'license': 'C5909'}]","[{'identifier': '50161', 'code': '01', 'desc': 'Other', 'state': 'AR', 'issuer': 'BCBS'}]",,,2006-09-07,2020-12-24,A,,,,,,,ATKINSON ROBBIE,ROBBIE,ATKINSON,RAY,DDS MD,YES,M,DR.,,2020-12-24,,,,,,,,
22,NPI-1,1639396807,1183852800,1176940800,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '4100 W 28TH AVE', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '716034726', 'telephone_number': '870-879-4870', 'fax_number': '870-879-5077'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '4100 W 28TH AVE', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '716034726', 'telephone_number': '870-879-4870', 'fax_number': '870-879-5077'}]","[{'code': '122300000X', 'desc': 'Dentist', 'primary': True, 'state': 'AR', 'license': '2324'}]",[],,,2007-04-19,2007-07-08,A,,,,,,,TOOLE DREW,DREW,TOOLE,WILLIAM,DDS,YES,M,DR.,,,,,,,,,,
23,NPI-1,1013490218,1536835737,1536796800,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '4100 W 28TH AVE', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '716034726', 'telephone_number': '870-879-4870'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '4100 W 28TH AVE', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '716034726', 'telephone_number': '870-879-4870'}]","[{'code': '122300000X', 'desc': 'Dentist', 'primary': True, 'state': 'AR', 'license': '4306'}]",[],,,2018-09-13,2018-09-13,A,,,,,,,DAVIS JOHN PHILIP,JOHN PHILIP,DAVIS,MCKENZIE,DDS,NO,M,,,,,,,,,,,
24,NPI-2,1952998114,1608645822,1608595200,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '4100 W 28TH AVE', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '716034726', 'telephone_number': '870-879-4870'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '4100 W 28TH AVE', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '716034726', 'telephone_number': '870-879-4870'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': '', 'license': '', 'taxonomy_group': '193400000X SINGLE SPECIALTY  GROUP'}]","[{'identifier': '230610608', 'code': '05', 'desc': 'MEDICAID', 'state': 'AR', 'issuer': ''}]","PHILIP DAVIS, DDS PA",NO,2020-12-22,2020-12-22,A,SARA,BURROW,,501-940-1530,INSURANCE ADMIN,,"PHILIP DAVIS, DDS PA",,,,,,,,,2020-12-22,,,,,,,,
25,NPI-1,1598217069,1511913600,1477872000,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '2801 S OLIVE ST STE 36C', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '716035413', 'telephone_number': '870-663-4180'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '1707 N HALL ST APT 431', 'address_2': '', 'city': 'DALLAS', 'state': 'TX', 'postal_code': '752044199', 'telephone_number': '770-309-0708'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': 'AR', 'license': '4220'}, {'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': False, 'state': 'TX', 'license': '32517'}]",[],,,2016-10-31,2017-11-29,A,,,,,,,ADENIYI ADETOLA,ADETOLA,ADENIYI,,D.D.S,NO,M,DR.,,,,,,,,,,
